grid_x,grid_y,nb_trp_inside,impact_trp_aller,s_nb_trp_inside,impact_trp_aller
14,7,1,0.0,46,0.0
6,8,0,0.0,0,0.0
15,7,1,0.0,50,0.0
7,8,0,0.0,0,0.0
16,7,1,0.0,29,0.0
8,8,1,0.0,140,0.0
17,7,1,0.0,3,0.0
9,8,1,0.0,13,0.0
18,7,1,0.0,28,0.0
10,8,1,0.0,4,0.0
19,7,1,0.0,36,0.0
11,8,1,0.0,67,0.0
20,7,1,0.0,111,0.0
12,8,1,0.0,78,0.0
21,7,1,0.0,56,0.0
13,8,1,0.0,114,0.0
22,7,1,0.0,106,0.0
14,8,1,0.0,191,0.0
23,7,1,0.0,182,0.0
15,8,1,0.0,73,0.0
26,8,1,0.0000149544,7,0.0000149544
16,8,1,0.0,76,0.0
7,3,1,0.0000584998,5,0.0000584998
17,8,1,0.0,115,0.0
25,7,2,0.0000033269,28,0.0000033269
18,8,1,0.0,101,0.0
27,7,1,0.0,11,0.0
19,8,1,0.0,186,0.0
7,2,2,0.0000279633,6,0.0000279633
20,8,1,0.0,407,0.0
30,10,1,0.0000214117,19,0.0000214117
21,8,1,0.0,147,0.0
22,7,2,0.0000293231,128,0.0000293231
22,8,1,0.0,137,0.0
31,7,0,0.0,0,0.0
23,8,1,0.0,140,0.0
32,7,0,0.0,0,0.0
10,0,3,0.0000168454,9,0.0000168454
33,7,0,0.0,0,0.0
11,2,2,0.0000172121,12,0.0000172121
34,7,0,0.0,0,0.0
22,6,1,0.0000340843,32,0.0000340843
35,7,0,0.0,0,0.0
27,8,2,0.0,7,0.0
0,8,0,0.0,0,0.0
28,8,3,0.0,9,0.0
1,8,0,0.0,0,0.0
11,2,1,0.0000307429,11,0.0000307429
2,8,0,0.0,0,0.0
14,0,1,0.0000488022,5,0.0000488022
3,8,0,0.0,0,0.0
31,8,1,0.0,2,0.0
4,8,0,0.0,0,0.0
32,8,0,0.0,0,0.0
5,8,2,0.0,41,0.0
33,8,0,0.0,0,0.0
6,8,0,0.0,0,0.0
34,8,0,0.0,0,0.0
7,8,0,0.0,0,0.0
35,8,0,0.0,0,0.0
8,8,1,0.0,121,0.0
0,9,0,0.0,0,0.0
9,8,1,0.0,12,0.0
1,9,0,0.0,0,0.0
10,8,1,0.0,6,0.0
2,9,0,0.0,0,0.0
11,8,1,0.0,53,0.0
3,9,0,0.0,0,0.0
4,9,0,0.0,0,0.0
12,8,1,0.0,69,0.0
5,9,1,0.0,2,0.0
13,8,1,0.0,119,0.0
14,8,1,0.0,156,0.0
6,9,1,0.0,199,0.0
7,9,1,0.0,113,0.0
15,8,1,0.0,36,0.0
8,9,1,0.0,47,0.0
16,8,1,0.0,54,0.0
9,9,1,0.0,4,0.0
17,8,1,0.0,70,0.0
18,8,1,0.0,50,0.0
10,9,1,0.0,12,0.0
19,8,1,0.0,105,0.0
11,9,1,0.0,158,0.0
20,8,1,0.0,330,0.0
12,9,1,0.0,21,0.0
21,8,1,0.0,113,0.0
13,9,1,0.0,25,0.0
22,8,1,0.0,116,0.0
14,9,1,0.0,74,0.0
23,8,1,0.0,147,0.0
15,9,1,0.0,7,0.0
4,0,1,0.000014514,5,0.000014514
16,9,1,0.0,10,0.0
13,1,1,0.0000281588,13,0.0000281588
17,9,1,0.0,53,0.0
26,8,1,0.0,36,0.0
18,9,2,0.0,8,0.0
27,8,1,0.0,1,0.0
19,9,1,0.0,89,0.0
16,0,3,0.0000275939,7,0.0000275939
20,9,1,0.0,56,0.0
31,12,1,0.0000294625,6,0.0000294625
21,9,1,0.0,22,0.0
19,2,1,0.0000132103,13,0.0000132103
22,9,1,0.0,58,0.0
31,8,1,0.0,4,0.0
23,9,1,0.0,28,0.0
32,8,0,0.0,0,0.0
24,9,1,0.0,31,0.0
33,8,0,0.0,0,0.0
25,9,1,0.0,5,0.0
34,8,0,0.0,0,0.0
17,3,1,0.0000170188,12,0.0000170188
35,8,0,0.0,0,0.0
23,5,1,0.0000194469,87,0.0000194469
0,9,0,0.0,0,0.0
22,3,3,0.0000326504,13,0.0000326504
1,9,0,0.0,0,0.0
27,4,1,0.0000319072,3,0.0000319072
2,9,0,0.0,0,0.0
30,9,2,0.0,9,0.0
